state,region,pp_expen_1994,pp_expen_2017,pp_expen_change
Alabama,alabama,4082,9511,5429
Alaska,alaska,8004,17838,9834
Arizona,arizona,4206,8003,3797
Arkansas,arkansas,4302,9967,5665
California,california,4790,12143,7353
Colorado,colorado,5040,9809,4769
Connecticut,connecticut,7813,19322,11509
Delaware,delaware,6509,15302,8793
District of Columbia,district of columbia,8290,21974,13684
Florida,florida,5082,9075,3993
Georgia,georgia,4915,10205,5290
Hawaii,hawaii,5597,14322,8725
Idaho,idaho,3941,7486,3545
Illinois,illinois,5310,15337,10027
Indiana,indiana,5285,10045,4760
Iowa,iowa,5210,11461,6251
Kansas,kansas,5268,10961,5693
Kentucky,kentucky,4591,10121,5530
Louisiana,louisiana,4259,11199,6940
Maine,maine,5991,13690,7699
Maryland,maryland,6404,14848,8444
Massachusetts,massachusetts,6399,16197,9798
Michigan,michigan,6568,11907,5339
Minnesota,minnesota,5867,12647,6780
Mississippi,mississippi,3791,8771,4980
Missouri,missouri,4795,10589,5794
Montana,montana,5101,11443,6342
Nebraska,nebraska,5489,12579,7090
Nevada,nevada,4726,9320,4594
New Hampshire,new hampshire,5602,15683,10081
New Jersey,new jersey,8974,18920,9946
New Mexico,new mexico,4111,9881,5770
New York,new york,8424,23091,14667
North Carolina,north carolina,4762,9072,4310
North Dakota,north dakota,4473,13760,9287
Ohio,ohio,5698,12645,6947
Oklahoma,oklahoma,4470,7940,3470
Oregon,oregon,5654,11264,5610
Pennsylvania,pennsylvania,6503,15798,9295
Rhode Island,rhode island,6855,15943,9088
South Carolina,south carolina,4439,10590,6151
South Dakota,south dakota,4246,9939,5693
Tennessee,tennessee,3921,9184,5263
Texas,texas,4740,9375,4635
Utah,utah,3471,7179,3708
Vermont,vermont,6179,18290,12111
Virginia,virginia,5316,11886,6570
Washington,washington,5493,11989,6496
West Virginia,west virginia,5619,11554,5935
Wisconsin,wisconsin,6236,11968,5732
Wyoming,wyoming,5742,16537,10795